,2000  1  1   1 19 28.30  41.950N   20.630E   5.0 4.8
90,2000  4  5   4 36 58.80  34.220N   25.690E  38.0 5.2
91,2000  4  5   7  1 32.30  34.510N   25.660E  38.0 4.0
92,2000  4  5  16  8 10.20  35.860N   25.670E  10.0 3.7
93,2000  4  5  22 43 23.80  39.160N   24.490E  21.0 4.1
94,2000  4  5  23 41 17.10  34.130N   25.600E   5.0 3.9
95,2000  4  6  11 15 40.70  36.670N   24.980E  35.0 3.9
96,2000  4  6  11 31 58.40  35.720N   25.740E  10.0 3.8
97,2000  4  6  13 28 55.30  35.770N   25.620E  10.0 3.8
98,2000  4  6  19 10 38.80  36.100N   25.420E  10.0 3.7
99,2000  4  6  23 24  1.60  35.460N   24.430E   9.0 3.8
100,2000  4  7   1 25 47.50  36.410N   25.590E  10.0 3.8
101,2000  4  7   5 35  0.20  39.590N   26.370E  25.0 3.9
102,2000  4  7  10 38  4.10  34.520N   25.710E   3.0 4.2
103,2000  4  7  11 11 52.20  41.380N   20.210E   5.0 3.7
104,2000  4  7  19  9 26.00  38.130N   22.820E   8.0 4.2
105,2000  4  9  10 37 17.70  34.310N   25.660E   5.0 4.3
106,2000  4  9  23 18  7.30  36.020N   25.740E  10.0 3.8
107,2000  4 10   4  4 57.70  36.600N   25.400E   5.0 3.8
108,2000  4 10   8  9 20.40  39.210N   26.970E  10.0 3.7
109,2000  4 12  19  1 29.40  38.690N   26.450E  18.0 3.7
110,2000  4 13  15  2 20.50  35.040N   26.050E   5.0 3.7
111,2000  4 15  11  3 27.80  40.820N   28.400E   5.0 4.0
112,2000  4 15  17 26 31.10  40.060N   19.740E  11.0 4.2
113,2000  4 16  17 28 12.10  34.420N   25.660E   5.0 4.3
114,2000  4 17   4  4 54.30  35.780N   26.280E  34.0 3.7
115,2000  4 17  23 55 45.90  34.360N   25.670E  16.0 4.6
116,2000  4 18   2 46 11.20  35.720N   25.640E  10.0 3.8
117,2000  4 18  15 31 14.30  34.930N   24.830E   5.0 4.1
118,2000  4 18  16 41 53.80  34.550N   25.740E   8.0 4.1
119,2000  4 18  23 12 46.70  34.570N   25.630E   5.0 3.8
120,2000  4 19   2 23  4.30  38.100N   22.060E  66.0 4.6
121,2000  4 19  14 42 55.50  34.930N   25.910E  22.0 3.9
122,2000  4 20   2 44 14.60  39.370N   20.580E   6.0 4.3
123,2000  4 20  20 43 41.30  37.130N   20.910E  24.0 3.8
124,2000  4 22  17  5 24.50  37.950N   28.620E  40.0 3.9
125,2000  4 23  13 53 35.60  38.120N   27.700E   5.0 4.1
126,2000  4 23  15 56 48.30  37.960N   27.900E   5.0 3.9
127,2000  4 24  17 37 54.30  40.160N   24.430E   5.0 3.7
128,2000  4 25  15 24 47.10  36.580N   25.620E   5.0 3.7
129,2000  4 27  16 37 20.70  34.220N   25.820E   5.0 4.0
130,2000  4 27  18 23 27.40  34.420N   24.570E  24.0 3.8
131,2000  4 27  19  3 45.80  38.370N   22.100E   5.0 4.6
132,2000  4 27  22 28 53.30  38.310N   22.080E   5.0 3.8
133,2000  4 28   0 30 15.90  35.400N   26.930E   3.0 3.8
134,2000  4 28   2 42 55.60  35.540N   26.900E   5.0 3.7
135,2000  4 28  17 41  0.30  37.720N   19.690E   5.0 4.8
136,2000  4 28  18 19 24.40  37.980N   20.150E   4.0 4.0
137,2000  4 28  20 44 23.20  34.910N   24.110E  45.0 3.8
138,2000  4 29   6 45 26.30  35.440N   26.640E   5.0 3.8
139,2000  4 29   7 51 17.00  34.690N   25.720E  26.0 3.8
140,2000  4 30  15 53 45.60  35.590N   24.680E  42.0 3.7
141,2000  5  1   2 13 21.00  40.620N   24.260E  30.0 3.7
142,2000  5  2  10  4 51.40  35.460N   24.350E  34.0 3.7
143,2000  5  3   4 59 19.80  38.340N   22.050E   5.0 3.7
144,2000  5  4   1 32 12.10  38.750N   26.340E  24.0 3.8
145,2000  5  4  19 13 26.10  35.650N   27.530E   5.0 3.8
146,2000  5  4  21 27  1.70  38.690N   25.830E  10.0 3.7
147,2000  5  4  21 50 13.90  34.750N   25.660E   5.0 3.7
148,2000  5  7  12 40 30.70  35.460N   22.310E   5.0 3.8
149,2000  5  7  17  4 20.90  35.850N   21.650E  31.0 3.9
150,2000  5  7  20 33 14.80  35.860N   21.750E   5.0 3.8
151,2000  5  8  19 24 48.30  36.440N   27.790E  10.0 3.8
152,2000  5  8  21 49  8.10  38.880N   26.330E  10.0 3.7
153,2000  5  8  22 35 20.80  34.450N   25.460E  39.0 3.7
154,2000  5  9   0 17 19.00  36.110N   27.530E  12.0 3.8
155,2000  5 10   7  2 43.20  35.000N   23.280E  11.0 3.9
156,2000  5 10   9 42 25.80  36.180N   24.890E  10.0 3.7
157,2000  5 10  10 17 41.70  37.730N   28.350E  30.0 3.9
158,2000  5 11  22 59 14.00  36.680N   26.840E  41.0 3.7
159,2000  5 13  15 50 34.40  36.120N   25.110E  99.0 3.9
160,2000  5 15   3 50 12.00  34.600N   24.970E  37.0 3.7
161,2000  5 16   6 26 40.90  35.550N   27.000E   5.0 3.8
162,2000  5 16  13 50 50.60  36.320N   26.530E 112.0 4.0
163,2000  5 18   2 42 43.80  39.000N   23.490E   5.0 3.7
164,2000  5 18  11 59 46.30  34.730N   25.620E   5.0 3.8
165,2000  5 19   9  0 17.70  34.360N   25.620E   8.0 3.8
166,2000  5 19  12 24 11.30  34.880N   22.940E  18.0 3.7
167,2000  5 19  14 35 40.90  36.910N   26.270E  36.0 3.8
168,2000  5 20   0  7 49.00  37.680N   19.710E   5.0 4.3
169,2000  5 20   2 33 56.00  35.420N   26.580E  26.0 4.0
170,2000  5 20   4 43  2.30  40.300N   25.350E  37.0 4.0
171,2000  5 20  13 11 13.00  35.250N   24.100E  52.0 3.7
172,2000  5 20  23 45 52.90  34.680N   25.760E   5.0 3.9
173,2000  5 22  12 59  9.90  40.330N   25.310E  38.0 3.9
174,2000  5 23   8 12 10.00  34.740N   25.900E   5.0 3.9
175,2000  5 24   5 40 37.50  36.000N   22.010E   5.0 5.4
176,2000  5 24   6 42 38.60  36.020N   22.230E   5.0 4.0
177,2000  5 24   6 44 13.90  36.090N   22.190E   5.0 4.2
178,2000  5 24  10  1 44.30  35.970N   22.090E   5.0 4.6
179,2000  5 24  11 26 21.50  36.250N   22.150E   5.0 3.9
180,2000  5 24  12 34 49.90  36.220N   22.110E   5.0 3.9
181,2000  5 24  16 12 16.70  36.010N   22.030E   5.0 4.4
182,2000  5 24  16 16  0.40  35.730N   27.920E   5.0 3.8
183,2000  5 24  20 13 40.80  36.100N   22.190E   5.0 3.7
184,2000  5 24  21 28 17.90  36.050N   22.120E   5.0 3.8
185,2000  5 24  23 41  0.90  34.860N   25.690E   5.0 3.7
186,2000  5 25   0 26 47.00  36.070N   22.160E   5.0 4.4
187,2000  5 25   0 37 35.60  36.110N   22.120E   5.0 4.0
188,2000  5 25  12 41  3.00  36.110N   22.110E   5.0 3.7
189,2000  5 25  21 41 59.20  38.920N   20.550E   2.0 3.8
190,2000  5 26   1  1 20.10  35.980N   21.930E   5.0 4.1
191,2000  5 26   1 28 22.00  38.910N   20.580E   5.0 5.3
192,2000  5 26   2  1 44.50  36.640N   27.370E  39.0 3.7
193,2000  5 26   2 39 18.00  36.080N   22.280E   5.0 3.8
194,2000  5 26   2 43 43.00  38.940N   20.480E   5.0 3.9
195,2000  5 26  11 48 55.40  36.080N   22.140E   5.0 3.7
196,2000  5 26  12  2  4.60  38.970N   20.530E   5.0 4.3
197,2000  5 26  12 32 40.20  35.960N   21.970E   5.0 3.8
198,2000  5 26  14 46 36.10  35.800N   28.540E   5.0 3.8
199,2000  5 27   3  8 22.30  36.010N   21.990E   5.0 4.3
200,2000  5 27   3 47  6.80  34.460N   26.180E  19.0 4.2
201,2000  5 28   0  8 39.80  37.780N   27.650E   8.0 3.7
202,2000  5 28   8 18  6.60  37.750N   20.700E   5.0 3.8
203,2000  5 28  18 59  5.40  36.050N   22.150E   5.0 3.7
204,2000  5 28  22 24  8.10  35.660N   27.580E  10.0 3.7
205,2000  5 29   2 50 16.20  38.940N   20.430E   5.0 3.7
206,2000  5 30  16 16 28.70  35.120N   26.710E  17.0 4.3
207,2000  5 30  20 19 49.90  35.150N   26.700E   2.0 3.8
208,2000  5 31  12 45  8.10  35.790N   27.330E   6.0 3.8
209,2000  5 31  16 52  8.80  38.740N   26.610E   5.0 3.9
210,2000  5 31  19 31 41.50  36.160N   22.140E   5.0 3.8
211,2000  5 31  22 37 53.90  36.130N   22.100E   5.0 3.7
212,2000  6  1   5 41 41.90  36.470N   26.740E  34.0 3.8
213,2000  6  1  17 56 27.90  37.610N   20.700E   5.0 4.0
214,2000  6  2   7 50 52.30  36.040N   22.150E   5.0 4.1
215,2000  6  2  17 45  6.40  36.100N   22.180E   5.0 4.0
216,2000  6  2  18 49 49.20  36.070N   22.190E   5.0 4.0
217,2000  6  2  23 44 54.80  36.100N   22.150E   5.0 3.8
218,2000  6  3   1  1 16.30  35.040N   29.920E  38.0 4.0
219,2000  6  3  11 24 49.60  36.630N   25.970E   5.0 3.9
220,2000  6  3  11 26 11.60  36.680N   26.160E  34.0 4.1
221,2000  6  3  11 29 32.10  36.720N   25.930E  31.0 3.8
222,2000  6  3  13 27 52.50  38.960N   20.080E  28.0 4.4
223,2000  6  3  13 32  2.00  36.680N   25.800E   5.0 4.4
224,2000  6  4   1 33 44.40  36.630N   26.130E  34.0 3.8
225,2000  6  4  10 52 54.50  35.970N   22.070E   5.0 3.9
226,2000  6  4  11 30 20.30  38.360N   26.500E   5.0 3.9
227,2000  6  4  11 47 27.70  38.320N   26.880E   5.0 3.7
228,2000  6  4  12  7 24.40  36.170N   22.180E   5.0 3.8
229,2000  6  4  12 13 17.30  38.870N   26.810E   5.0 3.9
230,2000  6  4  13 11 51.50  36.060N   22.160E   5.0 4.6
231,2000  6  4  22 43 26.50  37.880N   28.860E  33.0 4.0
232,2000  6  5   0 56 28.00  37.830N   28.740E  32.0 4.0
233,2000  6  5   1 40 55.50  37.820N   28.750E  10.0 3.9
234,2000  6  5  13 40 52.90  37.430N   28.050E  10.0 3.7
235,2000  6  5  16 45 25.70  37.210N   27.880E  10.0 3.7
