,2000  1  1   1 19 28.30  41.950N   20.630E   5.0 4.8
822,2001  7 26   2 13 26.00  38.960N   24.430E  22.0 4.1
823,2001  7 26   2 16 31.10  39.040N   24.410E  19.0 4.2
824,2001  7 26   2 26 30.70  38.950N   24.460E  17.0 4.2
825,2001  7 26   2 39 28.50  39.040N   24.500E  10.0 3.8
826,2001  7 26   2 40 40.20  38.970N   24.570E   5.0 4.6
827,2001  7 26   3  8 33.00  38.940N   24.540E   3.0 3.7
828,2001  7 26   3 21 44.40  38.970N   24.390E  37.0 3.8
829,2001  7 26   3 39 17.20  39.140N   24.440E   5.0 3.8
830,2001  7 26   4 24  0.60  39.000N   24.420E  19.0 3.9
831,2001  7 26   4 31 37.20  38.950N   24.420E  22.0 4.3
832,2001  7 26   4 49 47.50  38.960N   24.370E  22.0 4.1
833,2001  7 26   4 53 36.90  39.060N   24.380E  22.0 4.6
834,2001  7 26   5 27 27.90  39.130N   24.360E  21.0 3.9
835,2001  7 26   6 19 25.80  39.140N   24.280E  20.0 3.8
836,2001  7 26   6 38 28.80  38.920N   24.480E  26.0 3.9
837,2001  7 26   7 44 34.90  38.950N   24.320E  35.0 4.4
838,2001  7 26   8 55  5.10  39.110N   24.240E  36.0 3.8
839,2001  7 26   9 22  2.20  39.090N   24.270E  38.0 3.8
840,2001  7 26   9 29 43.70  39.000N   24.350E  37.0 4.0
841,2001  7 26   9 55 31.90  38.920N   24.450E  35.0 3.7
842,2001  7 26  10 30 10.00  39.100N   24.320E   8.0 4.0
843,2001  7 26  11 51 56.50  39.080N   24.350E   5.0 3.7
844,2001  7 26  12 38 26.90  38.920N   24.410E  28.0 3.7
845,2001  7 26  12 48 55.60  38.940N   24.380E   3.0 3.9
846,2001  7 26  14 12 16.50  39.060N   24.340E  15.0 3.8
847,2001  7 26  14 24 34.30  39.110N   24.270E   5.0 4.6
848,2001  7 26  15 24 30.30  39.030N   24.350E   5.0 4.0
849,2001  7 26  16 37 39.00  38.890N   24.630E  27.0 3.7
850,2001  7 26  18 20  8.70  39.020N   24.200E  31.0 3.7
851,2001  7 26  19  9 15.80  39.020N   24.370E  23.0 3.8
852,2001  7 26  20 29 38.40  38.840N   24.490E  23.0 3.7
853,2001  7 26  22  0 26.20  35.200N   24.330E  52.0 3.8
854,2001  7 26  22 21 25.50  38.950N   24.470E   5.0 3.9
855,2001  7 26  23 31 36.80  38.930N   24.420E   5.0 3.9
856,2001  7 27   1 34 49.10  38.910N   24.450E  25.0 3.8
857,2001  7 27   3 38 48.20  39.230N   24.400E  38.0 3.9
858,2001  7 27   4  0 29.10  39.120N   24.330E  24.0 3.7
859,2001  7 29  13  2 43.20  35.610N   24.090E  23.0 3.7
860,2001  7 29  16 50 51.60  38.990N   24.430E  23.0 3.7
861,2001  7 30   1 31 33.90  36.790N   27.940E  51.0 3.7
862,2001  7 30  14 44 46.00  39.100N   24.260E   5.0 3.9
863,2001  7 30  14 54 13.80  39.120N   24.250E   4.0 3.8
864,2001  7 30  14 55 13.00  37.870N   20.740E   5.0 3.9
865,2001  7 30  14 55 41.30  39.140N   24.200E  29.0 3.9
866,2001  7 30  14 59 43.10  39.140N   24.220E  25.0 4.1
867,2001  7 30  15 24 58.90  39.130N   24.190E  20.0 4.9
868,2001  7 30  16 38 24.20  39.090N   24.330E  16.0 4.3
869,2001  7 30  17  5 11.10  39.130N   24.280E  20.0 4.2
870,2001  7 31   3 21 51.30  38.950N   24.160E  20.0 4.0
871,2001  7 31  11 33 52.30  38.910N   24.520E  24.0 3.8
872,2001  7 31  11 49 18.40  35.410N   27.020E  20.0 3.9
873,2001  7 31  23 56 54.20  34.480N   24.520E   3.0 4.3
874,2001  8  2  18 40 45.10  39.200N   24.490E  21.0 4.3
875,2001  8  3   2 20 14.30  38.550N   25.870E  37.0 3.7
876,2001  8  3   3 12  9.00  38.500N   25.350E  15.0 3.7
877,2001  8  3   7 36 17.30  38.960N   24.140E  18.0 3.9
878,2001  8  3  13 59 49.70  39.070N   24.250E  14.0 3.9
879,2001  8  5  20 58 18.80  35.220N   26.050E   5.0 3.7
880,2001  8  6   3 55 25.10  39.260N   26.770E   5.0 3.8
881,2001  8  7   1  4 15.00  39.720N   20.600E   2.0 3.9
882,2001  8  7   2 41  5.90  38.980N   24.470E  21.0 3.7
883,2001  8  8  13 12  4.90  38.910N   24.480E  24.0 4.4
884,2001  8  9   4 23 49.60  37.790N   21.980E   5.0 3.8
885,2001  8  9  19 37 42.80  38.430N   25.640E  30.0 3.7
886,2001  8 10   7 47  9.60  39.000N   24.280E   9.0 4.1
887,2001  8 10  11 19  3.70  38.980N   24.370E  20.0 3.7
888,2001  8 10  14 10  4.70  36.420N   28.670E   5.0 3.9
889,2001  8 10  17  4 26.80  39.060N   24.350E  11.0 3.7
890,2001  8 10  20  3 37.70  39.110N   24.310E  23.0 3.8
891,2001  8 10  21 49 39.30  40.710N   23.450E   5.0 3.9
892,2001  8 12  12  8 42.30  38.940N   24.880E  31.0 3.7
893,2001  8 12  15 51 42.90  38.990N   24.250E  24.0 3.9
894,2001  8 13   5 37 17.90  39.190N   25.890E   5.0 3.7
895,2001  8 13  10 59 52.10  34.450N   25.810E   5.0 4.0
896,2001  8 13  11 11  6.40  39.330N   27.660E  36.0 4.2
897,2001  8 13  11 20 18.90  39.090N   24.340E  15.0 3.8
898,2001  8 13  11 26  2.90  39.340N   27.860E  19.0 3.9
899,2001  8 13  14 19 24.50  38.570N   25.570E  36.0 3.9
900,2001  8 14  20 29 55.90  39.110N   24.270E  21.0 3.9
901,2001  8 16   2 42 17.20  34.000N   25.440E  31.0 3.8
902,2001  8 16  10  5 35.50  35.100N   25.140E  33.0 3.9
903,2001  8 16  12 15 12.40  39.120N   24.290E  20.0 3.7
904,2001  8 16  23 31 33.60  39.100N   24.260E  19.0 3.8
905,2001  8 17  16 46 33.70  36.090N   21.450E   5.0 3.8
906,2001  8 17  21  1 46.00  39.010N   24.380E  17.0 3.7
907,2001  8 19  17  1 47.30  38.480N   25.580E   5.0 3.8
908,2001  8 22  17 55 26.00  35.070N   24.640E  36.0 3.9
909,2001  8 25  20 49 11.30  37.690N   28.640E   5.0 4.0
910,2001  8 26   2 16 36.30  35.350N   26.550E   5.0 3.9
911,2001  8 26  18 25 30.40  37.980N   26.660E   5.0 3.8
912,2001  8 26  19 14 26.50  37.970N   26.900E  10.0 3.7
913,2001  8 26  19 54 39.40  37.990N   26.720E   5.0 3.8
914,2001  8 27   4  4  8.20  34.350N   22.940E  39.0 3.7
915,2001  8 27  20  9 51.40  35.810N   27.250E  22.0 3.8
916,2001  8 27  21 43 43.70  39.150N   24.240E  17.0 4.3
917,2001  8 28  18 27 30.50  35.210N   23.410E  33.0 3.7
918,2001  8 28  21 47  3.00  35.230N   26.400E   5.0 3.7
919,2001  8 29  10  2 16.20  34.440N   24.000E   5.0 3.8
920,2001  8 29  11 25 29.10  36.130N   22.270E   5.0 3.7
921,2001  8 29  12 47 58.50  35.940N   25.220E  10.0 3.7
922,2001  8 29  17 28 22.30  36.680N   27.250E  10.0 3.7
923,2001  8 30   3  9 50.00  38.540N   27.350E  30.0 3.7
924,2001  8 30   6 19 14.90  35.030N   28.190E  33.0 4.2
925,2001  8 30   7  2 46.60  35.020N   28.250E  47.0 4.0
926,2001  8 30  14 56 25.00  34.780N   28.510E  32.0 4.2
927,2001  8 30  19 58 21.60  36.140N   27.300E  29.0 4.0
928,2001  8 30  21 28 26.80  37.750N   20.030E   5.0 4.4
929,2001  8 30  21 41 40.80  38.710N   26.730E  21.0 3.7
930,2001  9  2   6 59 24.60  37.960N   20.120E  33.0 4.6
931,2001  9  3   1  8 46.40  36.550N   28.710E  18.0 3.8
932,2001  9  3   2 40 54.30  35.030N   23.530E  39.0 3.9
933,2001  9  4   1 18 47.70  38.630N   26.200E  10.0 3.7
934,2001  9  4  22 16 42.60  37.280N   26.840E  25.0 3.7
935,2001  9  5   7  9 46.10  37.440N   21.330E  20.0 3.7
936,2001  9  7   5 26 20.30  36.110N   25.180E  10.0 3.7
937,2001  9  7   6 50 14.60  38.270N   20.590E   5.0 3.8
938,2001  9  7   8 59 51.80  38.690N   23.200E  10.0 3.8
939,2001  9  7  11  5 18.60  36.270N   22.590E  59.0 4.1
940,2001  9  7  17 57 22.40  38.970N   24.180E  15.0 4.0
941,2001  9  7  18  5 20.60  38.940N   24.280E  19.0 3.7
942,2001  9  9  23 30 11.40  37.220N   27.820E  10.0 3.7
943,2001  9 10   5  8  8.10  38.980N   23.270E   8.0 3.7
944,2001  9 13  15 42 56.40  35.460N   25.990E  57.0 4.7
945,2001  9 14   0  6 25.80  35.600N   26.690E   5.0 3.7
946,2001  9 14  22 47 24.30  36.080N   27.240E   5.0 3.8
947,2001  9 14  22 57 27.40  36.580N   26.890E   5.0 3.9
948,2001  9 16   2  0 48.50  37.290N   21.830E   5.0 5.2
949,2001  9 17  22 40 50.30  37.340N   21.760E   5.0 3.7
950,2001  9 18   1 24 53.10  38.800N   26.080E  10.0 3.9
951,2001  9 19   0 11 20.80  38.950N   24.380E  36.0 3.8
952,2001  9 19   4 58 17.10  37.280N   21.860E   5.0 3.8
953,2001  9 19   7 12 30.90  36.180N   21.610E   8.0 3.7
954,2001  9 19  12 44  4.30  34.910N   25.350E   5.0 3.9
955,2001  9 19  21  4 25.00  36.570N   26.750E   5.0 3.7
956,2001  9 20   1 23 39.00  34.800N   25.290E   5.0 4.1
957,2001  9 20  20 21 10.40  35.470N   24.560E  31.0 3.9
958,2001  9 21  20 27  6.60  36.410N   26.400E  38.0 3.7
959,2001  9 21  21 47 38.20  35.360N   24.240E  28.0 3.8
960,2001  9 22   1  4 31.20  37.250N   26.850E  20.0 3.8
961,2001  9 22  12 41 37.50  35.530N   23.820E   7.0 3.7
962,2001  9 22  18 32 47.50  35.420N   20.390E   8.0 4.0
963,2001  9 23  21 16 13.60  37.620N   20.960E   5.0 4.5
964,2001  9 24   6 26  0.40  40.710N   20.810E   5.0 3.7
965,2001  9 26   1 29 36.80  40.300N   25.230E  38.0 4.0
966,2001  9 26   2 19 18.30  35.410N   28.540E  15.0 3.8
967,2001  9 26   3  7 58.70  38.990N   23.230E  10.0 3.7
968,2001  9 26   4 19 55.00  34.900N   27.200E   5.0 4.6
969,2001  9 26   6 21 46.60  40.340N   25.880E  19.0 4.0
970,2001  9 26   7 19  9.90  35.570N   24.000E  36.0 3.7
971,2001  9 26   8 15 36.60  40.310N   25.280E  27.0 3.8
972,2001  9 28  16 13 26.00  35.640N   23.170E   5.0 4.0
973,2001  9 30   2 17 24.90  35.290N   27.990E  30.0 3.8
974,2001 10  2   2 26 50.70  40.210N   20.650E   5.0 4.0
975,2001 10  2  16 54 31.50  34.970N   25.350E   5.0 4.0
976,2001 10  2  19 10 34.90  34.990N   25.610E  36.0 3.9
977,2001 10  3  23 22 29.50  35.470N   28.090E  34.0 3.7
978,2001 10  6   7 26  0.70  40.640N   21.030E   5.0 4.4
979,2001 10  6  12  3 54.90  35.340N   26.800E  18.0 3.9
980,2001 10  6  13  7 27.90  37.490N   20.880E   5.0 3.7
981,2001 10  6  16 14 57.60  36.430N   28.330E  49.0 3.7
982,2001 10  6  22 18 24.00  35.210N   26.700E   5.0 4.1
983,2001 10  7  13 56 46.20  36.540N   26.750E   5.0 3.8
984,2001 10  8   0 12 53.10  35.030N   25.490E   8.0 4.0
985,2001 10  8   0 18  9.10  34.940N   25.440E   5.0 3.9
986,2001 10  8   1  3  9.10  34.910N   25.490E   5.0 3.9
987,2001 10  8   4 50 21.10  40.640N   23.160E  11.0 4.0
988,2001 10  8   5 26 44.80  40.620N   23.180E  15.0 4.2
989,2001 10  8   5 32 17.40  40.450N   23.080E   3.0 4.0
990,2001 10  8  11 38 13.30  36.770N   28.270E  95.0 4.1
991,2001 10  8  18  9 11.40  37.140N   28.550E   5.0 3.9
992,2001 10 10  21  8 23.00  34.780N   26.130E   3.0 3.8
993,2001 10 11   3 44 56.70  37.570N   28.730E   5.0 3.9
994,2001 10 12  10 36 52.80  36.990N   28.610E   5.0 3.8
995,2001 10 12  16 18 11.10  38.930N   26.800E  28.0 3.7
996,2001 10 12  22 54 53.50  39.100N   24.130E  38.0 3.8
997,2001 10 13  17 42 55.30  38.590N   26.810E  15.0 3.9
998,2001 10 15   8 51  9.80  35.970N   21.910E   5.0 4.6
999,2001 10 17   2 27 15.10  39.890N   26.930E  17.0 3.9
1000,2001 10 17   5 56 21.80  38.640N   26.160E  23.0 3.9
1001,2001 10 17   7 21 49.90  38.590N   25.220E  10.0 3.7
1002,2001 10 17  12 33 34.40  38.930N   24.400E  23.0 3.7
1003,2001 10 17  17 53 45.90  39.420N   26.740E   5.0 3.7
1004,2001 10 20  23 10 57.80  35.510N   26.650E   5.0 3.9
1005,2001 10 21   7 32 21.30  35.820N   23.920E   5.0 3.7
1006,2001 10 23  21 14  2.10  35.480N   23.230E  22.0 3.7
1007,2001 10 24  12 18 31.00  37.850N   21.300E  10.0 3.8
1008,2001 10 24  16 20 35.60  35.990N   27.620E  20.0 3.9
1009,2001 10 26  13 32 52.10  38.100N   23.310E  24.0 4.0
1010,2001 10 29  20 21 48.90  38.890N   24.380E  26.0 4.8
1011,2001 10 29  20 34 24.70  38.850N   24.280E  28.0 3.7
1012,2001 10 30   6 10 17.50  35.140N   24.180E  28.0 4.0
1013,2001 10 30  21  0  7.50  36.020N   29.840E   5.0 4.9
1014,2001 10 30  21 49 12.20  36.230N   29.530E  10.0 3.9
1015,2001 11  2   1 14 27.20  36.040N   29.760E  22.0 3.9
1016,2001 11  2   9 14 34.00  36.180N   22.250E   5.0 4.0
1017,2001 11  2  10  3 30.70  35.810N   26.380E   5.0 3.7
1018,2001 11  2  23  0  2.90  36.180N   28.420E  33.0 3.9
1019,2001 11  3  11 58 37.10  39.140N   24.250E  31.0 3.7
1020,2001 11  3  14 23 59.10  36.120N   22.340E   5.0 3.9
1021,2001 11  3  17 32 53.70  39.040N   24.190E  23.0 3.8
1022,2001 11  3  20 28 17.90  36.280N   23.550E  89.0 4.0
1023,2001 11  4  17 23 30.10  34.190N   25.350E   5.0 4.6
1024,2001 11  5   2 39 11.10  35.680N   26.570E  25.0 3.8
1025,2001 11  7   5  1 21.90  35.620N   21.860E   5.0 3.9
1026,2001 11  7  19 59 20.40  35.680N   27.670E  29.0 3.8
1027,2001 11 10  18 32 57.90  35.440N   23.890E  10.0 4.0
1028,2001 11 12  11 11 26.50  40.580N   20.790E   5.0 3.7
1029,2001 11 14  19 55 46.70  38.120N   23.550E   6.0 3.9
1030,2001 11 15  11 32 36.00  35.260N   25.430E  26.0 3.7
1031,2001 11 16   9 49 21.40  35.130N   24.720E  10.0 3.8
1032,2001 11 16  20 21  1.80  35.710N   25.910E  38.0 3.7
1033,2001 11 17   7 56 16.70  36.770N   25.980E  39.0 3.7
1034,2001 11 18   1  1 43.40  35.400N   28.510E  39.0 4.5
1035,2001 11 18  14 14  3.30  34.900N   25.470E  10.0 3.7
1036,2001 11 20  16  7 44.90  37.450N   21.360E  21.0 3.7
1037,2001 11 20  20 55 23.30  35.220N   23.650E   6.0 4.0
1038,2001 11 21  21 17 14.00  38.590N   24.560E  21.0 4.0
1039,2001 11 22  18 41  5.70  38.990N   24.370E  16.0 4.0
1040,2001 11 23   8 47  7.30  37.120N   20.960E   5.0 3.7
1041,2001 11 24   0 53 24.30  35.230N   26.140E   5.0 3.8
1042,2001 11 24  16 20 20.40  35.240N   26.170E   5.0 3.9
1043,2001 11 25   2 17 38.50  38.700N   20.290E   5.0 3.8
1044,2001 11 25  18 59 37.80  38.690N   26.650E   5.0 3.7
1045,2001 11 25  20 11 20.20  38.700N   26.600E  20.0 3.7
1046,2001 11 26   4 21 46.00  34.710N   24.050E  19.0 4.3
1047,2001 11 26   5  3 22.80  34.760N   24.070E  24.0 5.0
1048,2001 11 26  15 13  3.50  35.870N   29.860E  25.0 4.0
1049,2001 11 26  20 43 50.40  35.460N   25.910E   5.0 3.9
1050,2001 11 27   3 56 50.80  35.110N   26.830E   5.0 3.9
1051,2001 11 27   9 46 16.20  35.420N   25.960E   5.0 3.9
1052,2001 11 27  12 21 37.10  35.210N   25.910E   5.0 3.8
1053,2001 11 27  14 18  4.30  35.400N   25.940E   5.0 3.7
1054,2001 11 27  14 47 35.60  35.400N   25.980E   5.0 4.0
1055,2001 11 29  19 48 32.80  35.260N   26.550E   5.0 3.8
1056,2001 12  1  20 18  0.60  40.260N   20.140E   5.0 4.2
1057,2001 12  2   0 54 34.20  34.910N   22.880E   5.0 3.8
1058,2001 12  3   9 57 35.30  35.150N   26.590E   5.0 3.8
1059,2001 12  4  22 35 32.80  37.110N   27.770E   5.0 4.0
1060,2001 12  4  23 13 20.80  41.440N   20.310E   8.0 3.7
1061,2001 12  5  19 26 56.50  35.740N   26.800E  10.0 3.7
1062,2001 12  6  20 30 25.50  40.530N   23.840E   5.0 3.7
1063,2001 12  7  19 44 52.60  39.380N   23.780E  24.0 5.0
1064,2001 12  7  20 28 57.20  39.210N   23.680E   5.0 3.9
1065,2001 12  8  17 39  1.40  35.060N   26.390E  39.0 4.0
1066,2001 12  8  20 18 13.50  39.340N   23.750E   5.0 4.1
1067,2001 12 10  18  4 40.60  34.810N   28.500E  38.0 4.1
1068,2001 12 10  19 19 27.40  39.150N   24.230E  29.0 4.4
1069,2001 12 10  19 50  9.60  37.360N   24.590E 181.0 3.8
1070,2001 12 11   1  2 17.00  39.160N   24.260E  19.0 4.0
1071,2001 12 11  16 34  5.70  38.990N   24.360E  37.0 4.4
1072,2001 12 12  21 45 28.20  34.160N   25.580E  29.0 3.9
1073,2001 12 12  22 32 34.20  35.320N   26.730E  21.0 3.7
1074,2001 12 14  22 41 21.00  36.300N   26.800E  24.0 3.9
1075,2001 12 15   3 36 20.60  35.810N   26.290E   5.0 3.8
1076,2001 12 16   6 13 25.50  35.480N   27.260E  10.0 3.7
1077,2001 12 17  13  8 17.80  38.570N   27.080E   5.0 3.8
1078,2001 12 17  20 40 38.30  36.600N   20.440E   5.0 4.1
1079,2001 12 18  10 26 58.70  34.910N   25.040E  10.0 3.7
1080,2001 12 18  11 16 50.40  35.630N   26.600E  40.0 4.1
1081,2001 12 18  15 54 12.10  35.130N   26.760E   5.0 3.9
1082,2001 12 18  18  1 33.00  35.650N   26.440E  10.0 3.7
1083,2001 12 19   5 56 26.20  35.230N   26.670E   4.0 3.8
1084,2001 12 19   6  4 49.20  35.620N   26.520E   5.0 4.1
1085,2001 12 19   6 29 53.50  35.460N   26.540E   5.0 3.7
1086,2001 12 19   7  5  8.20  35.610N   26.520E   5.0 3.7
1087,2001 12 19   8 47 44.00  35.380N   26.560E  20.0 3.8
1088,2001 12 20  23 42 35.10  35.390N   27.070E  37.0 3.7
1089,2001 12 21  14 25 25.90  36.170N   27.330E   4.0 4.5
1090,2001 12 21  14 31 48.10  36.130N   27.310E   5.0 3.9
1091,2001 12 21  14 37 45.30  36.040N   27.500E  10.0 3.7
1092,2001 12 21  15  3  5.40  36.150N   27.030E   5.0 3.9
1093,2001 12 21  17  4 39.00  36.190N   27.380E   5.0 3.8
1094,2001 12 22  22 17 23.00  35.160N   21.280E  32.0 3.9
1095,2001 12 23   5 11 53.00  35.550N   26.330E  28.0 3.9
1096,2001 12 24  11 17 29.40  37.810N   27.250E  37.0 3.8
1097,2001 12 24  20 55 44.70  38.360N   21.760E   5.0 4.4
1098,2001 12 25   0 20 13.40  39.530N   27.640E  25.0 3.7
1099,2001 12 26   0 54 46.20  35.440N   26.990E  12.0 4.2
1100,2001 12 26  23 30 52.00  38.510N   25.550E  39.0 4.0
1101,2001 12 29  23 12 31.60  36.600N   28.160E  92.0 4.3
1102,2001 12 30   4  6 30.60  34.600N   27.530E  37.0 4.8
1103,2001 12 31  13 32 35.40  36.380N   27.810E  30.0 3.9
1104,2002  1  1  22 15 57.70  37.290N   21.830E   5.0 4.1
1105,2002  1  4   2  8 40.30  35.020N   26.250E   4.0 3.9
1106,2002  1  6   6  9 10.10  37.780N   22.240E   5.0 3.7
1107,2002  1  6  15 36  6.70  39.380N   23.740E   5.0 4.0
1108,2002  1  7  11  9 33.40  35.740N   24.210E  27.0 4.1
1109,2002  1  7  13 52 16.40  35.690N   27.710E  28.0 3.7
1110,2002  1  8  14 17 58.00  36.290N   29.540E  19.0 3.9
1111,2002  1  9   9 35 56.20  37.900N   21.220E   5.0 4.3
1112,2002  1  9  14 11  8.00  35.990N   22.910E   5.0 4.2
1113,2002  1 10  21  1 34.60  38.020N   28.870E  36.0 3.8
1114,2002  1 12   9 30 43.00  35.500N   23.230E  28.0 3.7
1115,2002  1 13  11  2 50.50  35.630N   23.090E  37.0 3.7
1116,2002  1 16  18 24 35.10  41.620N   19.390E  18.0 4.0
1117,2002  1 16  18 30 21.00  35.420N   24.160E  31.0 3.8
1118,2002  1 17   3 50 27.90  35.380N   24.860E  15.0 3.7
1119,2002  1 19  22 46 51.20  34.370N   25.550E  31.0 3.9
1120,2002  1 20  12 38 13.40  36.310N   27.620E  10.0 3.8
1121,2002  1 20  13 38 49.10  38.620N   23.790E   5.0 3.7
1122,2002  1 20  14 36 19.00  34.330N   25.720E   5.0 4.0
1123,2002  1 20  19 54 54.40  34.260N   24.770E  38.0 4.2
1124,2002  1 21   0 29 17.00  35.540N   23.330E   5.0 3.7
1125,2002  1 21  14 34 25.20  38.600N   27.780E   5.0 4.8
1126,2002  1 22   4 53 54.30  35.560N   26.730E 104.0 5.8
1127,2002  1 23  18 24  9.40  34.600N   24.830E   5.0 3.8
1128,2002  1 23  20 10  0.30  38.550N   27.710E  31.0 3.9
1129,2002  1 23  21 22 13.20  38.510N   28.040E   5.0 4.1
1130,2002  1 24   2 20 36.30  35.940N   27.500E  59.0 3.8
1131,2002  1 25  17 54 28.10  38.030N   20.500E   5.0 4.2
1132,2002  1 26  11  3 50.90  37.150N   21.040E   5.0 4.0
1133,2002  1 26  12 22 49.80  37.000N   20.950E   5.0 3.8
1134,2002  1 26  15 31 35.80  37.060N   20.900E   5.0 3.7
1135,2002  1 26  18 15 58.90  34.690N   25.170E   5.0 3.7
1136,2002  1 26  20  5 33.60  37.080N   20.970E   5.0 4.7
1137,2002  1 26  20 24 58.70  37.110N   21.010E   5.0 4.2
1138,2002  1 27   8 44 57.40  38.360N   22.300E  19.0 3.9
1139,2002  1 27  20 52 46.80  35.290N   26.340E   5.0 3.7
1140,2002  1 30  18 17 54.70  38.570N   24.330E  18.0 3.8
1141,2002  1 30  20  3 33.80  37.660N   21.660E   5.0 3.9
1142,2002  2  4  10  2  0.50  38.720N   22.930E   5.0 3.7
1143,2002  2  5  20 18 14.10  37.750N   20.780E   5.0 3.7
1144,2002  2  6  20  1 48.80  35.370N   23.430E   5.0 3.7
1145,2002  2  7  17 53 44.60  36.200N   28.950E  35.0 3.9
1146,2002  2  7  23 34 18.30  35.410N   24.230E   8.0 3.7
1147,2002  2  9   4 43 52.50  38.030N   20.830E   5.0 3.8
1148,2002  2  9   4 55  0.00  38.080N   20.840E   5.0 3.9
1149,2002  2  9  10 25 24.10  37.600N   20.860E   5.0 4.1
1150,2002  2  9  11  0 12.90  37.530N   20.730E   5.0 4.0
1151,2002  2 10  10 11 10.60  37.630N   20.910E   5.0 3.8
1152,2002  2 14  11 46 31.00  38.550N   25.530E  10.0 3.8
1153,2002  2 14  22 42 19.90  36.410N   27.820E  10.0 4.0
1154,2002  2 15  18 38 12.20  36.270N   22.100E   3.0 3.8
1155,2002  2 18  10 19 24.60  41.840N   23.150E  31.0 3.8
1156,2002  2 18  16 38 58.50  35.120N   23.750E  50.0 3.7
1157,2002  2 19  10 12 17.00  36.300N   27.670E   5.0 4.0
1158,2002  2 19  11 35 30.90  35.660N   26.960E   5.0 3.7
1159,2002  2 20  12 46 11.50  38.730N   23.460E   7.0 3.8
1160,2002  2 21   8 40 41.90  36.760N   21.640E  34.0 3.9
1161,2002  2 21  18 20 44.70  38.360N   21.760E   5.0 3.9
1162,2002  2 23   1  6 50.60  37.870N   26.420E   5.0 3.7
1163,2002  2 24   0 31 17.50  38.370N   21.720E   5.0 3.8
1164,2002  2 24   5 32 21.70  35.400N   26.570E  37.0 4.2
1165,2002  2 27  13 39 43.50  41.170N   20.890E   5.0 3.8
1166,2002  2 27  23 24 27.40  35.480N   25.970E  10.0 4.0
1167,2002  3  1   6  4 43.40  38.340N   27.910E  24.0 4.0
1168,2002  3  1   6 46 42.70  38.320N   28.160E   5.0 3.9
1169,2002  3  1  12  1 26.10  38.390N   28.050E  10.0 4.0
1170,2002  3  1  15 47 59.90  38.460N   28.240E   5.0 4.1
1171,2002  3  1  21  9 33.80  36.980N   27.710E   5.0 4.0
1172,2002  3  2  15 10 23.40  35.310N   26.810E  25.0 3.9
1173,2002  3  3   3 44 56.60  38.470N   28.320E   5.0 3.8
1174,2002  3  4   2  6 54.70  37.170N   20.710E   5.0 3.7
1175,2002  3  5   2 52 43.60  37.090N   28.130E  21.0 3.9
1176,2002  3  5   5 23 44.60  40.710N   25.610E  21.0 4.3
1177,2002  3  5   9 18  5.10  35.590N   26.560E  20.0 3.7
1178,2002  3  5  21  3 36.90  38.740N   22.760E   5.0 3.7
1179,2002  3  7  20 30 40.10  40.980N   20.770E   5.0 3.8
1180,2002  3  8   4 50 43.90  35.380N   25.640E   5.0 3.7
1181,2002  3  8  13 31 28.50  40.950N   23.470E   5.0 3.8
1182,2002  3  9  16 59 33.50  34.760N   24.980E  39.0 3.8
1183,2002  3 13   7 49 25.90  35.450N   26.870E  57.0 3.7
1184,2002  3 15  13 52 38.10  34.810N   23.480E   5.0 3.8
1185,2002  3 18   4 12 20.20  34.730N   24.130E  30.0 3.9
1186,2002  3 21   5 44  2.80  36.570N   28.760E  10.0 3.9
1187,2002  3 21  13 51  9.60  35.240N   28.200E  10.0 3.7
1188,2002  3 21  16 58  4.50  34.250N   25.630E   5.0 3.8
1189,2002  3 21  17 20 14.20  36.970N   29.740E  10.0 3.9
1190,2002  3 23   2 36  9.60  41.010N   28.330E  36.0 4.3
1191,2002  3 23   4 52  6.20  38.000N   22.360E  83.0 4.1
1192,2002  3 23  13  8 27.90  35.390N   24.080E   3.0 3.7
1193,2002  3 23  21 59  5.50  35.080N   24.290E   5.0 3.9
1194,2002  3 26   3  1 46.10  38.940N   24.540E   5.0 4.3
1195,2002  3 26  11 37 33.30  37.290N   21.070E   5.0 3.7
1196,2002  3 30   9 26 45.50  36.840N   27.000E  34.0 3.7
1197,2002  4  2  19 45 31.80  39.400N   28.080E   5.0 3.9
1198,2002  4  3   4 11 58.90  34.250N   23.930E  29.0 4.0
1199,2002  4  3  12  0 10.90  35.800N   23.710E   5.0 4.0
1200,2002  4  5   7 55 51.00  37.970N   21.090E   5.0 4.5
1201,2002  4  5  13 14  4.30  41.850N   24.940E  22.0 4.6
1202,2002  4  5  18 45 29.90  36.460N   25.890E  10.0 3.7
1203,2002  4  6   1 11  7.10  41.350N   24.830E   2.0 3.8
1204,2002  4  6   5 47 17.90  41.420N   24.800E   5.0 3.8
1205,2002  4  6  11 19 54.10  35.780N   23.880E   5.0 3.7
1206,2002  4  6  13 49 23.20  36.070N   21.550E   5.0 3.9
1207,2002  4  6  14  9 25.60  35.980N   21.460E   5.0 3.9
1208,2002  4 10  21 13 13.20  35.970N   29.520E  10.0 3.8
1209,2002  4 11   7  1 33.50  34.640N   24.750E   5.0 3.8
1210,2002  4 11   8 23 24.20  36.010N   22.050E   5.0 3.8
1211,2002  4 12  14 55 57.80  40.250N   24.990E  30.0 4.0
1212,2002  4 12  17 55  2.90  35.510N   23.590E   5.0 3.8
1213,2002  4 14  15  0 42.40  36.160N   26.930E   5.0 3.7
